Event(name=Tempo Class, time=0, value=mid, text=None)
Event(name=Tempo Value, time=0, value=90, text=None)
Event(name=Bar, time=60, value=60, text=1)
Event(name=Position, time=900, value=15/16, text=900)
Event(name=Note Velocity, time=900, value=121, text=121)
Event(name=Note On, time=900, value=66, text=F#4)
Event(name=Note Duration, time=900, value=0.425, text=0.425)
Event(name=Bar, time=1020, value=1020, text=2)
Event(name=Position, time=1020, value=1/16, text=1020)
Event(name=Key, time=1020, value=F#:maj, text=F#:maj)
Event(name=Position, time=1020, value=1/16, text=1020)
Event(name=Chord, time=1020, value=B:maj, text=B:maj)
Event(name=Position, time=1020, value=1/16, text=1020)
Event(name=Note Velocity, time=1020, value=121, text=121)
Event(name=Note On, time=1020, value=75, text=D#5)
Event(name=Note Duration, time=1020, value=0.494, text=0.494)
Event(name=Position, time=1020, value=1/16, text=1020)
Event(name=Note Velocity, time=1020, value=65, text=65)
Event(name=Note On, time=1020, value=47, text=B2)
Event(name=Note Duration, time=1020, value=1.39, text=1.39)
Event(name=Position, time=1080, value=2/16, text=1080)
Event(name=Note Velocity, time=1080, value=49, text=49)
Event(name=Note On, time=1080, value=54, text=F#3)
Event(name=Note Duration, time=1080, value=1.185, text=1.185)
Event(name=Position, time=1140, value=3/16, text=1140)
Event(name=Note Velocity, time=1140, value=118, text=118)
Event(name=Note On, time=1140, value=73, text=C#5)
Event(name=Note Duration, time=1140, value=0.273, text=0.273)
Event(name=Position, time=1140, value=3/16, text=1140)
Event(name=Note Velocity, time=1140, value=59, text=59)
Event(name=Note On, time=1140, value=59, text=B3)
Event(name=Note Duration, time=1140, value=0.79, text=0.79)
Event(name=Position, time=1200, value=4/16, text=1200)
Event(name=Note Velocity, time=1200, value=100, text=100)
Event(name=Note On, time=1200, value=66, text=F#4)
Event(name=Note Duration, time=1200, value=1.217, text=1.217)
Event(name=Position, time=1260, value=5/16, text=1260)
Event(name=Note Velocity, time=1260, value=123, text=123)
Event(name=Note On, time=1260, value=71, text=B4)
Event(name=Note Duration, time=1260, value=0.308, text=0.308)
Event(name=Position, time=1380, value=7/16, text=1380)
Event(name=Note Velocity, time=1380, value=118, text=118)
Event(name=Note On, time=1380, value=80, text=G#5)
Event(name=Note Duration, time=1380, value=0.198, text=0.198)
Event(name=Position, time=1440, value=8/16, text=1440)
Event(name=Note Velocity, time=1440, value=104, text=104)
Event(name=Note On, time=1440, value=82, text=A#5)
Event(name=Note Duration, time=1440, value=0.24, text=0.24)
Event(name=Position, time=1500, value=9/16, text=1500)
Event(name=Chord, time=1500, value=C#:maj, text=C#:maj)
Event(name=Position, time=1500, value=9/16, text=1500)
Event(name=Note Velocity, time=1500, value=121, text=121)
Event(name=Note On, time=1500, value=80, text=G#5)
Event(name=Note Duration, time=1500, value=1.244, text=1.244)
Event(name=Position, time=1500, value=9/16, text=1500)
Event(name=Note Velocity, time=1500, value=97, text=97)
Event(name=Note On, time=1500, value=49, text=C#3)
Event(name=Note Duration, time=1500, value=1.244, text=1.244)
Event(name=Position, time=1560, value=10/16, text=1560)
Event(name=Note Velocity, time=1560, value=71, text=71)
Event(name=Note On, time=1560, value=56, text=G#3)
Event(name=Note Duration, time=1560, value=0.89, text=0.89)
Event(name=Position, time=1620, value=11/16, text=1620)
Event(name=Note Velocity, time=1620, value=87, text=87)
Event(name=Note On, time=1620, value=61, text=C#4)
Event(name=Note Duration, time=1620, value=0.908, text=0.908)
Event(name=Position, time=1680, value=12/16, text=1680)
Event(name=Note Velocity, time=1680, value=80, text=80)
Event(name=Note On, time=1680, value=65, text=F4)
Event(name=Note Duration, time=1680, value=0.687, text=0.687)
Event(name=Position, time=1860, value=15/16, text=1860)
Event(name=Note Velocity, time=1860, value=118, text=118)
Event(name=Note On, time=1860, value=66, text=F#4)
Event(name=Note Duration, time=1860, value=0.342, text=0.342)
Event(name=Bar, time=1980, value=1980, text=3)
Event(name=Position, time=1980, value=1/16, text=1980)
Event(name=Chord, time=1980, value=A#:min, text=A#:min)
Event(name=Position, time=1980, value=1/16, text=1980)
Event(name=Note Velocity, time=1980, value=118, text=118)
Event(name=Note On, time=1980, value=75, text=D#5)
Event(name=Note Duration, time=1980, value=0.517, text=0.517)
Event(name=Position, time=1980, value=1/16, text=1980)
Event(name=Note Velocity, time=1980, value=84, text=84)
Event(name=Note On, time=1980, value=46, text=A#2)
Event(name=Note Duration, time=1980, value=1.635, text=1.635)
Event(name=Position, time=2040, value=2/16, text=2040)
Event(name=Note Velocity, time=2040, value=73, text=73)
Event(name=Note On, time=2040, value=53, text=F3)
